ticker,currency,company_name,exchange,exchange_short,timezone
OCLR,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
MB,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
GAINO,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
LGCYO,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
ARDM,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
NXTM,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
BNCL,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
DELT,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
BWINB,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
STLR,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
SVA,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
SRCLP,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
NMRKV,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
NXEO,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
ACSF,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
LOXO,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
XSPL,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
GAINN,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
MPCT,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
GOVNI,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
MNGA,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
AHPA,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
ORBK,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
KAAC,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
MTGEP,USD,nan,NASDAQ Stock Exchange,NASDAQ,America/New_York
AFYA,USD,Afya,NASDAQ Stock Exchange,NASDAQ,America/New_York
IMAB,USD,I-Mab,NASDAQ Stock Exchange,NASDAQ,America/New_York
UHAL,USD,AMERCO,NASDAQ Stock Exchange,NASDAQ,America/New_York
GCVRZ,USD,Sanofi,NASDAQ Stock Exchange,NASDAQ,America/New_York
SNY,USD,Sanofi,NASDAQ Stock Exchange,NASDAQ,America/New_York
JFU,USD,9F Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
INPX,USD,Inpixon,NASDAQ Stock Exchange,NASDAQ,America/New_York
MJCO,USD,Majesco,NASDAQ Stock Exchange,NASDAQ,America/New_York
XP,USD,XP Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
YY,USD,YY Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TWOU,USD,"2U, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ATAI,USD,ATA Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
DOOO,USD,BRP Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
OZK,USD,Bank OZK,NASDAQ Stock Exchange,NASDAQ,America/New_York
CA,USD,"CA, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CHSCN,USD,CHS Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CHSCO,USD,CHS Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CHSCM,USD,CHS Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CHSCL,USD,CHS Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CHSCP,USD,CHS Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CSPI,USD,CSP Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
IMV,USD,IMV Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
KLXI,USD,KLX Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
EGOV,USD,NIC Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
NNBR,USD,"NN, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
PTC,USD,PTC Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
QADA,USD,QAD Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
QADB,USD,QAD Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
QIWI,USD,Qiwi plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
TRMD,USD,TORM plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
ZAGG,USD,ZAGG Inc,NASDAQ Stock Exchange,NASDAQ,America/New_York
YI,USD,"111, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AXTI,USD,"AXT, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ABCM,USD,Abcam plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
CYAD,USD,Celyad SA,NASDAQ Stock Exchange,NASDAQ,America/New_York
CRAY,USD,Cray Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
EXFO,USD,EXFO Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
