ticker,currency,company_name,exchange,exchange_short,timezone
DD,USD,"DuPont de Nemours, Inc.",New York Stock Exchange,NYSE,nan
RH,USD,RH,New York Stock Exchange,NYSE,America/New_York
CCT,USD,735,New York Stock Exchange,NYSE,America/New_York
CGG,USD,CGG,New York Stock Exchange,NYSE,America/New_York
VR-B,USD,nan,New York Stock Exchange,NYSE,America/New_York
GPT-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
JPM-B,USD,nan,New York Stock Exchange,NYSE,America/New_York
BSTI,USD,nan,New York Stock Exchange,NYSE,America/New_York
HES-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
AGC,USD,nan,New York Stock Exchange,NYSE,America/New_York
HE-U,USD,nan,New York Stock Exchange,NYSE,America/New_York
MP-D,USD,nan,New York Stock Exchange,NYSE,America/New_York
JHA,USD,nan,New York Stock Exchange,NYSE,America/New_York
FCE.A,USD,nan,New York Stock Exchange,NYSE,America/New_York
DDR-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
CTW,USD,nan,New York Stock Exchange,NYSE,America/New_York
RBS-S,USD,nan,New York Stock Exchange,NYSE,America/New_York
NLY-H,USD,nan,New York Stock Exchange,NYSE,America/New_York
VTRB,USD,nan,New York Stock Exchange,NYSE,America/New_York
LHO-J,USD,nan,New York Stock Exchange,NYSE,America/New_York
VLY-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
IPL-D,USD,nan,New York Stock Exchange,NYSE,America/New_York
BCS-D,USD,nan,New York Stock Exchange,NYSE,America/New_York
BKHU,USD,nan,New York Stock Exchange,NYSE,America/New_York
VR-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
DLR-H,USD,nan,New York Stock Exchange,NYSE,America/New_York
C-L,USD,nan,New York Stock Exchange,NYSE,America/New_York
NEE-Q,USD,nan,New York Stock Exchange,NYSE,America/New_York
DDR-J,USD,nan,New York Stock Exchange,NYSE,America/New_York
TCRX,USD,nan,New York Stock Exchange,NYSE,America/New_York
DDR-K,USD,nan,New York Stock Exchange,NYSE,America/New_York
GGP,USD,nan,New York Stock Exchange,NYSE,America/New_York
AFSS,USD,nan,New York Stock Exchange,NYSE,America/New_York
CYS-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
KMI-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
NEE-R,USD,nan,New York Stock Exchange,NYSE,America/New_York
GGP-A,USD,nan,New York Stock Exchange,NYSE,America/New_York
ALL-C,USD,nan,New York Stock Exchange,NYSE,America/New_York
HTGX,USD,nan,New York Stock Exchange,NYSE,America/New_York
EDR,USD,nan,New York Stock Exchange,NYSE,America/New_York
SLDD,USD,nan,New York Stock Exchange,NYSE,America/New_York
VLY-B,USD,nan,New York Stock Exchange,NYSE,America/New_York
DSXN,USD,nan,New York Stock Exchange,NYSE,America/New_York
CYS-B,USD,nan,New York Stock Exchange,NYSE,America/New_York
SN,USD,nan,New York Stock Exchange,NYSE,America/New_York
C-C,USD,nan,New York Stock Exchange,NYSE,America/New_York
PSA-Y,USD,nan,New York Stock Exchange,NYSE,America/New_York
ARI-C,USD,nan,New York Stock Exchange,NYSE,America/New_York
FRC-E,USD,nan,New York Stock Exchange,NYSE,America/New_York
LHO-I,USD,nan,New York Stock Exchange,NYSE,America/New_York
AFST,USD,nan,New York Stock Exchange,NYSE,America/New_York
BLH,USD,3611,New York Stock Exchange,NYSE,America/New_York
BJZ,USD,10805,New York Stock Exchange,NYSE,America/New_York
NBD,USD,11702,New York Stock Exchange,NYSE,America/New_York
KST,USD,12691,New York Stock Exchange,NYSE,America/New_York
BPK,USD,17634,New York Stock Exchange,NYSE,America/New_York
LDF,USD,20102,New York Stock Exchange,NYSE,America/New_York
MZF,USD,26038,New York Stock Exchange,NYSE,America/New_York
KMM,USD,57247,New York Stock Exchange,NYSE,America/New_York
ACM,USD,AECOM,New York Stock Exchange,NYSE,America/New_York
PKX,USD,POSCO,New York Stock Exchange,NYSE,America/New_York
SAP,USD,SAP SE,New York Stock Exchange,NYSE,America/New_York
CTX,USD,1692817,New York Stock Exchange,NYSE,America/New_York
ABB,USD,ABB Ltd,New York Stock Exchange,NYSE,America/New_York
AON,USD,Aon plc,New York Stock Exchange,NYSE,America/New_York
ARMK,USD,Aramark,New York Stock Exchange,NYSE,America/New_York
